ts,label,value,source
2026-01-21T10:00:00,click,100,manual
2026-01-21T11:00:00,signup,200,manual
2026-01-21T12:00:00,page_view,50,sensor
2026-01-21T12:15:00,click,75,web
2026-01-21T12:30:00,page_view,40,web
2026-01-21T12:45:00,click,90,web
2026-01-21T13:00:00,signup,180,web
2026-01-21T13:15:00,page_view,60,web
2026-01-21T13:30:00,click,55,sensor
2026-01-21T13:45:00,page_view,45,sensor
2026-01-21T14:00:00,click,110,manual
2026-01-21T14:15:00,signup,220,manual
2026-01-21T14:30:00,page_view,35,web
2026-01-21T14:45:00,click,95,web
2026-01-21T15:00:00,page_view,70,web
2026-01-21T15:15:00,click,85,sensor
2026-01-21T15:30:00,signup,210,web
2026-01-21T15:45:00,page_view,30,manual
2026-01-21T16:00:00,click,65,web
2026-01-21T16:15:00,page_view,55,sensor
2026-01-21T16:30:00,click,120,manual
2026-01-21T16:45:00,signup,240,web
2026-01-21T17:00:00,page_view,42,web
2026-01-22T09:00:00,click,88,web
2026-01-22T09:10:00,page_view,33,web
2026-01-22T09:20:00,click,92,sensor
2026-01-22T09:30:00,signup,205,manual
2026-01-22T09:40:00,page_view,47,sensor
2026-01-22T09:50:00,click,77,web
2026-01-22T10:00:00,page_view,52,manual
2026-01-22T10:10:00,click,101,web
2026-01-22T10:20:00,signup,230,web
2026-01-22T10:30:00,page_view,39,sensor
2026-01-22T10:40:00,click,83,manual
2026-01-22T10:50:00,page_view,44,web
2026-01-22T11:00:00,click,109,sensor
2026-01-22T11:10:00,signup,215,manual
2026-01-22T11:20:00,page_view,58,web
2026-01-22T11:30:00,click,96,web
2026-01-22T11:40:00,page_view,37,sensor
2026-01-22T11:50:00,click,72,manual
2026-01-22T12:00:00,signup,225,web
2026-01-22T12:10:00,page_view,49,web
2026-01-22T12:20:00,click,113,sensor
2026-01-22T12:30:00,page_view,41,manual
2026-01-22T12:40:00,click,87,web
2026-01-22T12:50:00,signup,235,manual
2026-01-22T13:00:00,page_view,53,web
